I;t_sob;Type;t_zh1;t_zh2;C;t_ozh;J_kzh;Gen_kzh
63;3.2125816420261257;S_n(3);0.622073982906522;1.9131857958157257;(26, 10);0.015846432719591075;73;N
64;3.228428074745717;S_n(1);2.887746570964242;-1;(26, 10);0.0013658591437324397;105;N
65;3.2297939338894492;S_n(3);0.4835922893905498;0.49421872808338463;(26, 11);0.013430159428954092;37;N
66;3.2432240933184033;S_n(3);1.2819506670587593;1.4514925662725646;(26, 12);0.006086451004728932;56;N
67;3.2493105443231323;S_n(3);0.20244193881733435;0.17593964324618486;(26, 13);0.007592830569752795;45;M
68;3.256903374892885;S_m(2);0.05421225504550983;0.6892751060759394;(27, 13);0.01741054202693082;134;M
69;3.274313916919816;S_m(1);0.2967961564388287;-1;(27, 13);0.022933835264705493;82;N
70;3.2972477521845214;S_n(2);0.21389776329778087;2.812057461348066;(28, 13);0.0025385442114780332;109;N
71;3.2997862963959994;S_n(3);0.8277378967074028;0.21467945947934425;(28, 14);0.003736120700242651;111;M
72;3.303522417096242;S_n(2);0.7774751766698744;0.47438121764587265;(29, 14);0.007784846656655908;138;M
73;3.311307263752898;S_n(3);0.6657259924022164;1.055787136478;(29, 15);0.0016502433842009445;79;M
74;3.312957507137099;S_n(2);1.6546480585354995;1.1843935655143993;(30, 15);0.02031090067779573;132;N
75;3.3332684078148946;S_n(1);1.049508971927243;-1;(30, 15);0.032003133840258435;108;M
76;3.365271541655153;S_n(3);3.3715713996444907;0.22840448782778822;(30, 16);0.002012545893351092;120;M
77;3.367284087548504;S_m(0);-1;-1;(30, 15);0.03479517398443477;29;M
78;3.402079261532939;S_m(2);1.9064237603235026;2.278408725618344;(31, 15);0.0032325279551415065;150;M
79;3.4053117894880804;S_n(3);2.1105664897383623;0.8332417344194117;(31, 16);0.0037622758679360935;162;M
80;3.4090740653560165;S_m(2);3.01443252073347;0.31593840578936205;(32, 16);0.011097418775241952;144;M
81;3.4201714841312585;S_n(2);0.45863077919333434;0.659512542201778;(33, 16);0.0010063508022195577;74;M
82;3.421177834933478;S_m(2);2.7084143228627386;0.919426980507441;(34, 16);0.0016544141372429877;70;N
83;3.422832249070721;S_n(3);0.12068676578876898;0.860546344025736;(34, 17);0.013526279199103097;93;N
84;3.436358528269824;S_n(3);1.0715012335186611;0.04588584217409906;(34, 18);0.00901846999104805;100;N
85;3.445376998260872;S_n(2);1.1869420561331931;0.7865101830943935;(35, 18);0.01062643869283475;101;M
86;3.456003436953707;S_n(3);0.2519636136858894;0.06808317043449473;(35, 19);0.009004088431457724;49;N
87;3.4650075253851647;S_n(3);2.0033735131035684;0.6948486696795847;(35, 20);0.028173360047657248;126;M
88;3.493180885432822;S_m(0);-1;-1;(35, 19);2.7895169323777225e-05;156;N
89;3.4932087806021457;S_m(2);2.0758829734832616;0.6074567739034854;(36, 19);0.00014686640171746035;146;M
90;3.493355647003863;S_m(1);0.14585756721144272;-1;(36, 19);0.0018320600004297916;139;N
91;3.495187707004293;S_n(1);2.414857481855257;-1;(36, 19);0.005618255779861858;169;N
92;3.500805962784155;S_n(3);0.28488536454198077;0.19610789481934163;(36, 20);0.010339552698147347;145;N
93;3.511145515482302;S_n(2);1.6594375511245598;0.22620415680506414;(37, 20);0.002425918083258871;165;N
94;3.513571433565561;S_m(0);-1;-1;(37, 19);0.012419019635502515;148;N
95;3.5259904532010635;S_m(2);1.0354930227302823;0.10178937239183845;(38, 19);0.010710980400173487;163;N
96;3.536701433601237;S_m(1);1.2542692816427554;-1;(38, 19);0.026308375967462272;177;M
97;3.5630098095686993;S_m(1);1.448549514687581;-1;(38, 19);0.0001537841930332462;194;N
98;3.5631635937617325;S_n(3);1.1490700638610236;0.9655064030827785;(38, 20);0.012786896364618272;97;N
99;3.575950490126351;S_m(0);-1;-1;(38, 19);0.00032704875368594344;58;N
100;3.5762775388800367;S_m(2);0.12793723894699258;0.7136195763895676;(39, 19);0.0058555778464652875;147;N
